T (°C),T (K),Stress (MPa),time,C,LMP,RE
549,822,70,20000,23.02699237,22463.63438,5.199744686
588,861,40,20000,22.35514426,22950.96603,4.822173639
560,833,60,20000,22.08102389,21976.25089,5.097252024
573,846,50,20000,21.8785738,22147.94481,4.968333745
607,880,30,20000,22.95880017,23988.65055,4.661084572
634,907,20,20000,22.56373017,24366.33747,4.464805548
524,797,100,20000,22.85395467,21642.52278,5.393037664
526,799,97.5,20000,22.24278212,21208.50588,5.379258253
528,801,95,20000,21.66071302,20795.35616,5.365317858
530,803,92.5,20000,21.72728159,20900.73421,5.351159769
533.5,806.5,87.5,20000,21.8437766,21085.78652,5.325719572
535.5,808.5,85,20000,22.56669505,21722.5557,5.310739998
537.5,810.5,82.5,20000,21.97691374,21298.2734,5.295404249
542,815,77.5,20000,22.12669303,21538.59426,5.259509103
544.5,817.5,75,20000,22.20990374,21672.68833,5.238710067
547,820,72.5,20000,21.65839086,21286.7251,5.217300554
551.5,824.5,67.5,20000,21.80468691,21524.16359,5.17728816
554,827,65,20000,22.52610446,22186.04019,5.154298876
557,830,62.5,20000,22.62595731,22349.39947,5.126075864
563,836,57.5,20000,21.56086016,21620.54017,5.067939247
566,839,55,20000,22.27608529,22298.19972,5.038260618
569.5,842.5,52.5,20000,21.76737403,21962.63039,5.003348495
574,847,49,20000,21.91034517,22201.03476,4.958341403
575,848,48,20000,21.94211653,22254.18825,4.948363692
576.5,849.5,47,20000,21.98977358,22334.03763,4.933435594
578.5,851.5,46,20000,22.0533163,22440.72587,4.913629336
579.5,852.5,45,20000,22.08508767,22494.16531,4.903779096
581.5,854.5,44,20000,21.5453275,22085.71248,4.884207963
582.5,855.5,43,20000,22.18040176,22654.86487,4.874496162
584.5,857.5,42,20000,22.24394449,22762.31562,4.855241836
586,859,41,20000,22.29160153,22843.07048,4.840965366
589.5,862.5,39,20000,22.40280131,23032.0545,4.808277772
591,864,38,20000,22.45045835,23113.28593,4.794563327
593,866,37,20000,22.51400108,23221.81691,4.776575512
595,868,36,20000,21.9647095,22798.66188,4.75894507
597,870,35,20000,22.64108654,23439.64138,4.741685967
599,872,34,20000,22.08897083,23012.08072,4.724807283
601,874,33,20000,22.1511015,23119.16293,4.708312806
603,876,32,20000,22.21323217,23226.49366,4.692200623
605,878,31,20000,22.27536284,23334.07291,4.67646272
610,883,29,20000,21.83437017,23077.55834,4.638643001
612.5,885.5,28,20000,22.50835284,23739.7085,4.620448251
614.5,887.5,27,20000,22.5704835,23848.46823,4.606167019
617.5,890.5,26,20000,22.06229517,23476.54106,4.585081963
620,893,25,20000,22.13827017,23610.29505,4.56768509
622.5,895.5,24,20000,21.63521868,23225.91069,4.550291215
625.5,898.5,23,20000,21.72444889,23383.89278,4.529180015
628.5,901.5,22,20000,21.8136791,23542.41025,4.507481365
631.5,904.5,21,20000,21.90290932,23701.46311,4.484794983
638.5,911.5,19,20000,22.11111315,24074.66847,4.425321349
645.5,918.5,18,20000,21.75016454,23928.02218,4.350646253
645.5,918.5,17,20000,21.75016454,23928.02218,4.350646253
649,922,16,20000,22.42341889,24639.94188,4.304802366
540,813,70,40000,22.89201295,22352.6813,5.275705408
578,851,40,40000,21.31662264,22056.79892,4.918568579
550.5,823.5,60,40000,21.79351752,21736.75808,5.186337048
563.5,836.5,50,40000,22.20545331,22424.48487,5.063014756
597.5,870.5,30,40000,23.28282382,24273.79136,4.737430391
624,897,20,40000,22.70136062,24491.16828,4.539786254
